Phoneme,syl,son,cons,cont,del_rel,lat,nas,voi,c_g,s_g,ant,cor,dist,hi,lo,bk,rd,tense
p,0,0,1,0,0,0,0,0,0,0,1,0,N/A,0,0,0,0,0
t,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tʃ,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
c,0,0,1,0,0,0,0,0,0,0,0,0,N/A,1,0,0,0,0
k,0,0,1,0,0,0,0,0,0,0,0,0,N/A,1,0,1,0,0
q,0,0,1,0,0,0,0,0,0,0,0,0,N/A,0,0,1,0,0
ʡ,0,0,1,0,0,0,0,0,0,0,0,0,N/A,0,1,1,0,0
ʔ,0,1,0,0,0,0,0,0,1,0,0,0,N/A,0,0,0,0,0
b,0,0,1,0,0,0,0,1,0,0,1,0,N/A,0,0,0,0,0
d,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
dʒ ,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
ɟ,0,0,1,0,0,0,0,1,0,0,0,0,N/A,1,0,0,0,0
g,0,0,1,0,0,0,0,1,0,0,0,0,N/A,1,0,1,0,0
G,0,0,1,0,0,0,0,1,0,0,0,0,N/A,0,0,1,0,0
ɸ,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
β ,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
f,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
v,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
θ,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ð ,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
s,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
z,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ʃ,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ʒ,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
ç,0,0,1,1,0,0,0,0,0,0,0,0,N/A,1,0,0,0,0
ʝ ,0,0,1,1,0,0,0,1,0,0,0,0,N/A,1,0,0,0,0
x,0,0,1,1,0,0,0,0,0,0,0,0,N/A,1,0,1,0,0
ɣ,0,0,1,1,0,0,0,1,0,0,0,0,N/A,1,0,1,0,0
χ,0,0,1,1,0,0,0,0,0,0,0,0,N/A,0,0,1,0,0
ʁ,0,0,1,1,0,0,0,1,0,0,0,0,N/A,0,0,1,0,0
ħ,0,0,1,1,0,0,0,0,0,0,0,0,N/A,0,1,1,0,0
ʕ,0,0,1,1,0,0,0,1,0,0,0,0,N/A,0,1,1,0,0
h,0,1,0,1,0,0,0,0,0,1,0,0,N/A,0,0,0,0,0
ɦ,0,1,0,1,0,0,0,1,0,1,0,0,N/A,0,0,0,0,0
m,0,1,1,0,0,0,1,1,0,0,1,0,N/A,0,0,0,0,0
n,0,1,1,0,0,0,1,1,0,0,1,1,N/A,0,0,0,0,0
ɲ,0,1,1,0,0,0,1,1,0,0,0,1,N/A,0,0,0,0,0
ŋ,0,1,1,0,0,0,1,1,0,0,0,0,N/A,1,0,1,0,0
N,0,1,1,0,0,0,1,1,0,0,0,0,N/A,0,0,1,0,0
ɹ ,0,1,0,1,0,0,0,1,0,0,0,1,N/A,1,0,1,1,0
l,0,1,1,1,0,1,0,1,0,0,1,1,N/A,0,0,0,0,0
j,0,1,0,1,0,0,0,1,0,0,0,0,N/A,1,0,0,0,0
w,0,1,0,1,0,0,0,1,0,0,0,0,N/A,1,0,1,1,0
ɰ,0,1,0,1,0,0,0,1,0,0,0,0,N/A,0,0,1,0,0
ʈ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ɖ,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ɳ,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
ʂ ,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ʐ,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
i,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
y,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
ɨ,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
u,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1
e,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ø,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
ə,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
o,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
a,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
œ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
ɑ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
ɒ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
I,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Y,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ʊ,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
ɛ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ʌ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ɔ,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
